,Title,Genre,Poster
0,Toy Story (1995),Animation,./train_images/Animation/poster_0.jpg
1,Jumanji (1995),Action,./train_images/Action/poster_1.jpg
2,Grumpier Old Men (1995),Comedy,./train_images/Comedy/poster_2.jpg
3,Waiting to Exhale (1995),Comedy,./train_images/Comedy/poster_3.jpg
4,Father of the Bride Part II (1995),Comedy,./train_images/Comedy/poster_4.jpg
5,Heat (1995),Action,./train_images/Action/poster_5.jpg
6,Sabrina (1995),Comedy,./train_images/Comedy/poster_6.jpg
7,Sudden Death (1995),Action,./train_images/Action/poster_7.jpg
8,GoldenEye (1995),Action,./train_images/Action/poster_8.jpg
9,The American President (1995),Comedy,./train_images/Comedy/poster_9.jpg
10,Dracula: Dead and Loving It (1995),Comedy,./train_images/Comedy/poster_10.jpg
11,Balto (1995),Animation,./train_images/Animation/poster_11.jpg
12,Nixon (1995),Biography,./train_images/Biography/poster_12.jpg
13,Cutthroat Island (1995),Action,./train_images/Action/poster_13.jpg
14,Casino (1995),Crime,./train_images/Crime/poster_14.jpg
15,Sense and Sensibility (1995),Drama,./train_images/Drama/poster_15.jpg
16,Four Rooms (1995),Comedy,./train_images/Comedy/poster_16.jpg
17,Ace Ventura: When Nature Calls (1995),Adventure,./train_images/Adventure/poster_17.jpg
18,Money Train (1995),Action,./train_images/Action/poster_18.jpg
19,Get Shorty (1995),Comedy,./train_images/Comedy/poster_19.jpg
20,Copycat (1995),Crime,./train_images/Crime/poster_20.jpg
21,Assassins (1995),Action,./train_images/Action/poster_21.jpg
22,Powder (1995),Drama,./train_images/Drama/poster_22.jpg
23,Leaving Las Vegas (1995),Drama,./train_images/Drama/poster_23.jpg
24,Othello (1995),Drama,./train_images/Drama/poster_24.jpg
25,Now and Then (1995),Comedy,./train_images/Comedy/poster_25.jpg
26,Persuasion,Drama,./train_images/Drama/poster_26.jpg
27,The City of Lost Children (1995),Fantasy,./train_images/Fantasy/poster_27.jpg
28,"Yao a yao, yao dao wai po qiao (1995)",Crime,./train_images/Crime/poster_28.jpg
29,Dangerous Minds (1995),Biography,./train_images/Biography/poster_29.jpg
30,Twelve Monkeys (1995),Mystery,./train_images/Mystery/poster_30.jpg
31,Wings of Courage (1995),Adventure,./train_images/Adventure/poster_31.jpg
32,Babe (1995),Comedy,./train_images/Comedy/poster_32.jpg
33,Carrington (1995),Biography,./train_images/Biography/poster_33.jpg
34,Dead Man Walking (1995),Crime,./train_images/Crime/poster_34.jpg
35,Across the Sea of Time (1995),Adventure,./train_images/Adventure/poster_35.jpg
36,It Takes Two (1995),Comedy,./train_images/Comedy/poster_36.jpg
37,"Cry, the Beloved Country (1995)",Drama,./train_images/Drama/poster_37.jpg
38,Richard III (1995),Drama,./train_images/Drama/poster_38.jpg
39,Dead Presidents (1995),Action,./train_images/Action/poster_39.jpg
40,Restoration (1995),Biography,./train_images/Biography/poster_40.jpg
41,Mortal Kombat (1995),Action,./train_images/Action/poster_41.jpg
